City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Cidreira,BR,-30.1811,-50.2056,73.9,77,0,11.68,clear sky
273,Waldoboro,US,44.0954,-69.3756,45.48,39,0,10.85,clear sky
274,Quarai,BR,-30.3875,-56.4514,92.82,31,67,5.3,broken clouds
275,Waingapu,ID,-9.6567,120.2641,79.88,83,100,1.92,overcast clouds
276,Kahului,US,20.8947,-156.47,78.06,81,40,18.41,scattered clouds
277,Ahuimanu,US,21.4447,-157.8378,78.51,74,75,10.36,broken clouds
278,Tiksi,RU,71.6872,128.8694,-18.67,100,100,1.79,overcast clouds
279,High Prairie,CA,55.4334,-116.4858,22.3,86,81,5.91,broken clouds
280,Flinders,AU,-34.5833,150.8552,62.2,89,33,4.85,scattered clouds
281,Egra,CZ,50.0796,12.3739,36.97,98,100,6.62,light rain
282,At-Bashi,KG,41.1702,75.8106,6.42,72,96,1.86,overcast clouds
283,Emerald,AU,-23.5333,148.1667,73.54,69,90,5.75,overcast clouds
284,Acapulco,MX,16.8634,-99.8901,85.82,70,1,3.44,clear sky
285,Codrington,AU,-38.2667,141.9667,66.83,41,91,9.71,overcast clouds
286,Solwezi,ZM,-12.1688,26.3894,69.64,53,93,3.69,overcast clouds
287,Tarakan,ID,3.3,117.6333,79.02,83,100,4.27,overcast clouds
288,Alofi,NU,-19.0595,-169.9187,78.69,78,10,6.91,clear sky
289,Sojat,IN,25.9167,73.6667,60.39,42,6,7.43,clear sky
290,Klyuchi,RU,52.2667,79.1667,-0.87,97,27,5.37,scattered clouds
291,Avera,US,33.194,-82.5271,62.11,38,0,7.63,clear sky
292,Hillside,US,40.7012,-74.2301,50.41,36,1,5.01,clear sky
293,Kirkwall,GB,58.9848,-2.9587,46.74,87,75,11.5,broken clouds
294,Qaqortoq,GL,60.7167,-46.0333,18.1,85,10,6.69,clear sky
295,Abu Samrah,SY,35.3029,37.1841,56.61,47,88,7.16,overcast clouds
296,Westport,US,41.1415,-73.3579,49.41,34,1,1.99,clear sky
297,Kissidougou,GN,9.1848,-10.0999,74.89,35,48,2.84,scattered clouds
298,Sokoto,NG,13.0609,5.239,78.51,13,83,8.84,broken clouds
299,Ambovombe,MG,-25.1667,46.0833,73.6,80,30,9.26,scattered clouds
300,Bousso,TD,10.4795,16.7117,79.56,18,14,6.69,few clouds
301,Sturgeon Falls,CA,46.3646,-79.9326,41.9,72,62,18.86,broken clouds
302,Talnakh,RU,69.4865,88.3972,-20.79,88,100,0.25,overcast clouds
303,Hami,CN,42.8,93.45,23.13,44,2,5.37,clear sky
304,Lavrentiya,RU,65.5833,-171.0,-13.83,85,2,3.76,clear sky
305,Yamada,JP,39.4667,141.95,34.18,60,20,20.36,few clouds
306,Alice Springs,AU,-23.7,133.8833,67.55,42,20,6.91,few clouds
307,Visnes,NO,59.3556,5.2242,44.22,87,75,10.36,broken clouds
308,Nador,MA,35.174,-2.9287,57.45,88,0,2.3,clear sky
309,Taltal,CL,-25.4,-70.4833,65.23,71,30,6.6,scattered clouds
310,Pangnirtung,CA,66.1451,-65.7125,-0.4,65,20,2.3,few clouds
311,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,55,75,33.38,broken clouds
312,Kirkland Lake,CA,48.1446,-80.0377,34.63,80,100,13.69,light rain
313,Sept-Iles,CA,50.2001,-66.3821,31.05,70,75,13.0,broken clouds
314,Bilibino,RU,68.0546,166.4372,-36.31,96,13,5.06,few clouds
315,Port Lincoln,AU,-34.7333,135.8667,59.97,77,88,15.77,overcast clouds
316,Kitangari,TZ,-10.65,39.3333,69.93,97,100,5.86,overcast clouds
317,Kamenka,RU,51.3223,42.7678,19.74,68,25,12.57,scattered clouds
318,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,79.59,78,95,4.94,overcast clouds
319,Tateyama,JP,34.9833,139.8667,53.62,59,49,6.6,scattered clouds
320,Berlevag,NO,70.8578,29.0864,26.55,86,40,16.11,scattered clouds
321,Samana,DO,19.2056,-69.3369,86.22,70,40,6.91,scattered clouds
322,Iracoubo,GF,5.4802,-53.2011,77.07,90,100,11.54,overcast clouds
323,San Francisco Del Mar,MX,16.2333,-94.65,86.38,57,0,29.17,clear sky
324,Niceville,US,30.5169,-86.4822,64.45,61,40,1.01,scattered clouds
325,Berbera,SO,10.4396,45.0143,76.41,71,0,8.03,clear sky
326,Port-Gentil,GA,-0.7193,8.7815,79.54,79,100,2.71,overcast clouds
327,Udachnyy,RU,66.4167,112.4,-48.05,100,100,4.21,overcast clouds
328,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,71,40,24.74,scattered clouds
329,Aldan,RU,58.6031,125.3894,-24.95,87,80,4.56,broken clouds
330,Altus,US,34.6381,-99.334,62.51,18,1,1.01,clear sky
331,Alyangula,AU,-13.8483,136.4192,71.47,100,99,1.14,overcast clouds
332,Shenxian,CN,36.2411,115.6672,30.81,39,0,5.5,clear sky
333,Carutapera,BR,-1.195,-46.02,84.4,69,28,9.75,scattered clouds
334,Port Hedland,AU,-20.3167,118.5667,84.25,79,75,9.22,broken clouds
335,Fairbanks,US,64.8378,-147.7164,-9.78,70,1,0.0,light snow
336,Mao,ES,39.8885,4.2658,46.96,93,20,3.44,few clouds
337,Amudat,UG,1.95,34.95,71.69,52,20,16.96,few clouds
338,Casper,US,42.8666,-106.3131,42.01,45,1,29.93,clear sky
339,Shanghai,CN,31.2222,121.4581,45.93,60,0,1.01,clear sky
340,Saint-Augustin,CA,51.226,-58.6502,31.17,73,99,26.13,overcast clouds
341,Hambantota,LK,6.1241,81.1185,79.03,79,100,14.56,light rain
342,Cam Ranh,VN,11.9214,109.1591,75.16,64,20,18.41,few clouds
343,Aswan,EG,24.0934,32.907,79.9,57,0,10.36,clear sky
344,Bowen,AU,-20.0167,148.2333,73.62,77,9,11.07,clear sky
